type,word
possessive,u s t u ɾ m a t͡ʃ a m
citation,i s t ɾ o n g i ɫ o s
profs,i s t ɾ o n g i ɫ o s t͡ʃ u
predicative,i s t ɾ o n g i ɫ o s u m
accusative,i s t ɾ o n g i ɫ o s u
possessive,i s t ɾ o n g i ɫ o s u m
citation,i s j a n
profs,i s j a n d͡ʒ ɯ
predicative,i s j a n ɯ m
accusative,i s j a n ɯ
possessive,i s j a n ɯ m
citation,i t a
profs,i t a d͡ʒ ɯ
predicative,i t a j ɯ m
accusative,i t a j ɯ
possessive,i t a m
citation,i t a a t
profs,i t a a t t͡ʃ i
predicative,i t a a t i m
accusative,i t a a t i
possessive,i t a a t i m
citation,i t a ɫ i k
profs,i t a ɫ i k t͡ʃ i
predicative,i t a ɫ i k i m
accusative,i t a ɫ i k i
possessive,i t a ɫ i i m
citation,a n u t
profs,a n u t t͡ʃ u
predicative,a n u d u m
accusative,a n u d u
possessive,a n u d u m
citation,i t e k ɫ e m e k
aorist,i t e k ɫ e ɾ
causative,i t e k ɫ e t i ɾ
citation,i t e ɾ b i j u m
profs,i t e ɾ b i j u m d͡ʒ u
predicative,i t e ɾ b i j u m u m
accusative,i t e ɾ b i j u m u
possessive,i t e ɾ b i j u m u m
citation,i t f a
profs,i t f a d͡ʒ ɯ
predicative,i t f a j ɯ m
accusative,i t f a j ɯ
possessive,i t f a m
citation,i t h a f
profs,i t h a f t͡ʃ ɯ
predicative,i t h a f ɯ m
accusative,i t h a f ɯ
possessive,i t h a f ɯ m
citation,i t h a l
profs,i t h a l d͡ʒ i
predicative,i t h a l i m
accusative,i t h a l i
possessive,i t h a l i m
citation,i t h a m
profs,i t h a m d͡ʒ ɯ
predicative,i t h a m ɯ m
accusative,i t h a m ɯ
possessive,i t h a m ɯ m
predicative,a n u t u m
accusative,a n u t u
possessive,a n u t u m
citation,i h t i j a ɾ i
profs,i h t i j a ɾ i d͡ʒ i
predicative,i h t i j a ɾ i j i m
accusative,i h t i j a ɾ i j i
possessive,i h t i j a ɾ i m
citation,i t i b a ɾ
profs,i t i b a ɾ d͡ʒ ɯ
predicative,i t i b a ɾ ɯ m
accusative,i t i b a ɾ ɯ
possessive,i t i b a ɾ ɯ m
citation,i t i b a ɾ e n
profs,i t i b a ɾ e n d͡ʒ i
predicative,i t i b a ɾ e n i m
accusative,i t i b a ɾ e n i
possessive,i t i b a ɾ e n i m
citation,i t i d͡ʒ i
profs,i t i d͡ʒ i
predicative,i t i d͡ʒ i j i m
accusative,i t i d͡ʒ i j i
possessive,i t i d͡ʒ i m
citation,i t i d a l
profs,i t i d a l d͡ʒ i
predicative,i t i d a l i m
accusative,i t i d a l i
possessive,i t i d a l i m
citation,i t i k a d
profs,i t i k a t t͡ʃ ɯ
predicative,i t i k a d ɯ m
accusative,i t i k a d ɯ
possessive,i t i k a d ɯ m
citation,i t i l a
profs,i t i l a d͡ʒ ɯ
predicative,i t i l a j ɯ m
accusative,i t i l a j ɯ
possessive,i t i l a m
citation,i t i l a f
profs,i t i l a f t͡ʃ ɯ
predicative,i t i l a f ɯ m
accusative,i t i l a f ɯ
possessive,i t i l a f ɯ m
citation,i t i ɫ i m
profs,i t i ɫ i m d͡ʒ i
predicative,i t i ɫ i m i m
accusative,i t i ɫ i m i
possessive,i t i ɫ i m i m
citation,i t i m a t
profs,i t i m a t t͡ʃ ɯ
predicative,i t i m a d ɯ m
accusative,i t i m a d ɯ
possessive,i t i m a d ɯ m
citation,i t i n a
profs,i t i n a d͡ʒ ɯ
predicative,i t i n a j ɯ m
accusative,i t i n a j ɯ
possessive,i t i n a m
citation,i t i ɾ a f
profs,i t i ɾ a f t͡ʃ ɯ
predicative,i t i ɾ a f ɯ m
accusative,i t i ɾ a f ɯ
possessive,i t i ɾ a f ɯ m
citation,i t i ɾ a z
profs,i t i ɾ a z d͡ʒ ɯ
predicative,i t i ɾ a z ɯ m
accusative,i t i ɾ a z ɯ
possessive,i t i ɾ a z ɯ m
citation,a t͡ʃ ɯ k a ɯ z
profs,a t͡ʃ ɯ k a ɯ z d͡ʒ ɯ
predicative,a t͡ʃ ɯ k a ɯ z ɯ m
accusative,a t͡ʃ ɯ k a ɯ z ɯ
possessive,a t͡ʃ ɯ k a ɯ z ɯ m
citation,a n z a ɾ o t
profs,a n z a ɾ o t t͡ʃ u
predicative,a n z a ɾ o t u m
accusative,a n z a ɾ o t u
possessive,a n z a ɾ o t u m
citation,i t i ʃ ɫ i
predicative,i t i ʃ ɫ i j i m
accusative,i t i ʃ ɫ i j i
possessive,i t i ʃ ɫ i m
citation,i t i ʃ m e k
aorist,i t i ʃ i ɾ
causative,i t i ʃ t i ɾ i ɾ
citation,i t i j a t
profs,i t i j a t t͡ʃ ɯ
predicative,i t i j a d ɯ m
accusative,i t i j a d ɯ
possessive,i t i j a d ɯ m
citation,i t i z a ɾ
profs,i t i z a ɾ d͡ʒ ɯ
predicative,i t i z a ɾ ɯ m
accusative,i t i z a ɾ ɯ
possessive,i t i z a ɾ ɯ m
citation,i t l a f
profs,i t l a f t͡ʃ ɯ
predicative,i t l a f ɯ m
accusative,i t l a f ɯ
possessive,i t l a f ɯ m
possessive,i t l a f t͡ʃ ɯ
citation,a o ɾ t
profs,a o ɾ t t͡ʃ u
predicative,a o ɾ t u m
accusative,a o ɾ t u
possessive,a o ɾ t u m
citation,i t ɫ i k
profs,i t ɫ i k t͡ʃ i
predicative,i t ɫ i i m
accusative,i t ɫ i i
possessive,i t ɫ i i m
citation,i t m a m
profs,i t m a m d͡ʒ ɯ
predicative,i t m a m ɯ m
accusative,i t m a m ɯ
possessive,i t m a m ɯ m
citation,i t m e k
aorist,i t e ɾ
causative,i t t i ɾ i ɾ
citation,i t ɾ i j u m
profs,i t ɾ i j u m d͡ʒ u
predicative,i t ɾ i j u m u m
accusative,i t ɾ i j u m u
possessive,i t ɾ i j u m u m
citation,i t t i b a
profs,i t t i b a d͡ʒ ɯ
predicative,i t t i b a j ɯ m
accusative,i t t i b a j ɯ
possessive,i t t i b a m
citation,i t t i f a k
profs,i t t i f a k t͡ʃ ɯ
predicative,i t t i f a ɯ m
accusative,i t t i f a ɯ
possessive,i t t i f a ɯ m
citation,i t t i h a t
profs,i t t i h a t t͡ʃ ɯ
predicative,i t t i h a d ɯ m
accusative,i t t i h a d ɯ
possessive,i t t i h a d ɯ m
citation,i t t i h a m
profs,i t t i h a m d͡ʒ ɯ
predicative,i t t i h a m ɯ m
accusative,i t t i h a m ɯ
possessive,i t t i h a m ɯ m
predicative,i t t i h a d ɯ
citation,i t j a t a ɯ
profs,i t j a t a k t͡ʃ ɯ
predicative,i t j a t a ɯ j ɯ m
accusative,i t j a t a ɯ n ɯ
possessive,i t j a t a ɯ m
citation,a p a t͡ʃ ɯ k
profs,a p a t͡ʃ ɯ k t͡ʃ ɯ
predicative,a p a t͡ʃ ɯ ɯ m
accusative,a p a t͡ʃ ɯ ɯ
possessive,a p a t͡ʃ ɯ ɯ m
citation,i v e d͡ʒ e n
profs,i v e d͡ʒ e n d͡ʒ i
predicative,i v e d͡ʒ e n i m
accusative,i v e d͡ʒ e n i
possessive,i v e d͡ʒ e n i m
citation,i v e d i
profs,i v e d i d͡ʒ i
predicative,i v e d i j i m
accusative,i v e d i j i
possessive,i v e d i m
citation,i j i
profs,i j i d͡ʒ i
predicative,i j i j i m
accusative,i j i j i
possessive,i j i m
citation,i j i d͡ʒ e
profs,i j i d͡ʒ e d͡ʒ i
predicative,i j i d͡ʒ e j i m
accusative,i j i d͡ʒ e j i
possessive,i j i d͡ʒ e m
citation,i j o t
profs,i j o t t͡ʃ u
predicative,i j o t u m
accusative,i j o d u
possessive,i j o d u m
predicative,i j o d u m
citation,i j o n
profs,i j o n d͡ʒ u
predicative,i j o n u m
accusative,i j o n u
possessive,i j o n u m
accusative,i j o t u
possessive,i j o t u m
citation,i z
profs,i z d͡ʒ i
predicative,i z i m
accusative,i z i
possessive,i z i m
citation,a p a n d i s i t
profs,a p a n d i s i t t͡ʃ i
predicative,a p a n d i s i t i m
accusative,a p a n d i s i t i
possessive,a p a n d i s i t i m
citation,i z a t͡ʃ
profs,i z a t͡ʃ t͡ʃ ɯ
predicative,i z a d͡ʒ ɯ m
accusative,i z a d͡ʒ ɯ
possessive,i z a d͡ʒ ɯ m
citation,i z a b e
profs,i z a b e d͡ʒ i
predicative,i z a b e j i m
accusative,i z a b e j i
possessive,i z a b e m
citation,i z a f e
profs,i z a f e d͡ʒ i
predicative,i z a f e j i m
accusative,i z a f e j i
possessive,i z a f e m
citation,i z a f i
profs,i z a f i d͡ʒ i
predicative,i z a f i j i m
accusative,i z a f i j i
possessive,i z a f i m
citation,i z a h
profs,i z a h t͡ʃ ɯ
predicative,i z a h ɯ m
accusative,i z a h ɯ
possessive,i z a h ɯ m
citation,i z a ɫ e
profs,i z a ɫ e d͡ʒ i
predicative,i z a ɫ e j i m
accusative,i z a ɫ e j i
possessive,i z a ɫ e m
citation,i z a m
profs,i z a m d͡ʒ ɯ
predicative,i z a m ɯ m
accusative,i z a m ɯ
possessive,i z a m ɯ m
citation,a p a n s ɯ z
predicative,a p a n s ɯ z ɯ m
citation,i z a n
profs,i z a n d͡ʒ ɯ
predicative,i z a n ɯ m
accusative,i z a n ɯ
possessive,i z a n ɯ m
citation,i z a z
profs,i z a z d͡ʒ ɯ
predicative,i z a z ɯ m
accusative,i z a z ɯ
possessive,i z a z ɯ m
citation,i z b e
profs,i z b e d͡ʒ i
predicative,i z b e j i m
accusative,i z b e j i
possessive,i z b e m
citation,i z d͡ʒ i
profs,i z d͡ʒ i d͡ʒ i
predicative,i z d͡ʒ i j i m
accusative,i z d͡ʒ i j i
possessive,i z d͡ʒ i m
citation,i z d i h a m
profs,i z d i h a m d͡ʒ ɯ
predicative,i z d i h a m ɯ m
accusative,i z d i h a m ɯ
possessive,i z d i h a m ɯ m
citation,i z d i v a t͡ʃ
profs,i z d i v a t͡ʃ t͡ʃ ɯ
predicative,i z d i v a d͡ʒ ɯ m
accusative,i z d i v a d͡ʒ ɯ
possessive,i z d i v a d͡ʒ ɯ m
profs,a p a n s ɯ z d͡ʒ ɯ
accusative,a p a n s ɯ z ɯ
possessive,a p a n s ɯ z ɯ m
citation,i z d y ʃ y m
profs,i z d y ʃ y m d͡ʒ y
predicative,i z d y ʃ y m y m
accusative,i z d y ʃ y m y
possessive,i z d y ʃ y m y m
citation,i z g e
profs,i z g e d͡ʒ i
predicative,i z g e j i m
accusative,i z g e j i
possessive,i z g e m
citation,i z h a ɾ
profs,i z h a ɾ d͡ʒ ɯ
predicative,i z h a ɾ ɯ m
accusative,i z h a ɾ ɯ
possessive,i z h a ɾ ɯ m
citation,i z i n
profs,i z i n d͡ʒ i
predicative,i z i n i m
accusative,i z i n i
accusative,i z n i
possessive,i z n i m
citation,i z i n ɫ i
profs,i z i n ɫ i d͡ʒ i
predicative,i z i n ɫ i j i m
accusative,i z i n ɫ i j i
possessive,i z i n ɫ i m
citation,i z ɫ e m
profs,i z ɫ e m d͡ʒ i
predicative,i z ɫ e m i m
accusative,i z ɫ e m i
possessive,i z ɫ e m i m
citation,i z ɫ e m e k
aorist,i z ɫ e ɾ
causative,i z ɫ e t i ɾ
citation,i z ɫ i
citation,i z m a ɾ i t
profs,i z m a ɾ i t t͡ʃ i
predicative,i z m a ɾ i t i m
accusative,i z m a ɾ i t i
possessive,i z m a ɾ i t i m
citation,i z m i h l a l
profs,i z m i h l a l   d͡ʒ i
predicative,i z m i h l a l   i m
accusative,i z m i h l a l   i
possessive,i z m i h l a l   i m
profs,i z m i h l a l d͡ʒ i
predicative,i z m i h l a l i m
accusative,i z m i h l a l i
possessive,i z m i h l a l i m
citation,i z o ɫ a s j o n
profs,i z o ɫ a s j o n d͡ʒ u
predicative,i z o ɫ a s j o n u m
accusative,i z o ɫ a s j o n u
possessive,i z o ɫ a s j o n u m
citation,a p a ɾ t o p a ɾ
profs,a p a ɾ t o p a ɾ d͡ʒ ɯ
predicative,a p a ɾ t o p a ɾ ɯ m
accusative,a p a ɾ t o p a ɾ ɯ
possessive,a p a ɾ t o p a ɾ ɯ m
citation,i z z e t
profs,i z z e t t͡ʃ i
predicative,i z z e t i m
accusative,i z z e t i
possessive,i z z e t i m
citation,ʒ a g u a ɾ
profs,ʒ a g u a ɾ d͡ʒ ɯ
predicative,ʒ a g u a ɾ ɯ m
accusative,ʒ a g u a ɾ ɯ
possessive,ʒ a g u a ɾ ɯ m
citation,ʒ a k e t a t a j
profs,ʒ a k e t a t a j d͡ʒ ɯ
predicative,ʒ a k e t a t a j ɯ m
accusative,ʒ a k e t a t a j ɯ
possessive,ʒ a k e t a t a j ɯ m
citation,ʒ a ɫ e
profs,ʒ a ɫ e d͡ʒ i
predicative,ʒ a ɫ e j i m
accusative,ʒ a ɫ e j i
possessive,ʒ a ɫ e m
citation,ʒ a ɫ u z i
profs,ʒ a ɫ u z i d͡ʒ i
predicative,ʒ a ɫ u z i j i m
accusative,ʒ a ɫ u z i j i
possessive,ʒ a ɫ u z i m
citation,ʒ a m b o n
profs,ʒ a m b o n d͡ʒ u
predicative,ʒ a m b o n u m
accusative,ʒ a m b o n u
possessive,ʒ a m b o n u m
citation,ʒ a n d a ɾ m a
profs,ʒ a n d a ɾ m a d͡ʒ ɯ
predicative,ʒ a n d a ɾ m a j ɯ m
accusative,ʒ a n d a ɾ m a j ɯ
possessive,ʒ a n d a ɾ m a m
citation,ʒ a n ʒ a n ɫ ɯ
profs,ʒ a n ʒ a n ɫ ɯ d͡ʒ ɯ
predicative,ʒ a n ʒ a n ɫ ɯ j ɯ m
accusative,ʒ a n ʒ a n ɫ ɯ j ɯ
possessive,ʒ a n ʒ a n ɫ ɯ m
citation,a p a ɾ a t
profs,a p a ɾ a t t͡ʃ ɯ
predicative,a p a ɾ a t ɯ m
accusative,a p a ɾ a t ɯ
possessive,a p a ɾ a t ɯ m
citation,ʒ a n ɾ
profs,ʒ a n ɾ d͡ʒ ɯ
predicative,ʒ a n ɾ ɯ m
accusative,ʒ a n ɾ ɯ
possessive,ʒ a n ɾ ɯ m
citation,ʒ a n t
profs,ʒ a n t t͡ʃ ɯ
predicative,ʒ a n t ɯ m
accusative,ʒ a n t ɯ
possessive,ʒ a n t ɯ m
citation,ʒ a ɾ s e
profs,ʒ a ɾ s e d͡ʒ i
predicative,ʒ a ɾ s e j i m
accusative,ʒ a ɾ s e j i
possessive,ʒ a ɾ s e m
citation,ʒ a ɾ t i j e ɾ
profs,ʒ a ɾ t i j e ɾ d͡ʒ i
predicative,ʒ a ɾ t i j e ɾ i m
accusative,ʒ a ɾ t i j e ɾ i
possessive,ʒ a ɾ t i j e ɾ i m
citation,ʒ e
profs,ʒ e d͡ʒ i
predicative,ʒ e j i m
accusative,ʒ e j i
possessive,ʒ e m
citation,ʒ e ɫ a t i n
profs,ʒ e ɫ a t i n d͡ʒ i
predicative,ʒ e ɫ a t i n i m
accusative,ʒ e ɫ a t i n i
possessive,ʒ e ɫ a t i n i m
citation,ʒ e n e ɾ a ɫ i z e
profs,ʒ e n e ɾ a ɫ i z e d͡ʒ i
predicative,ʒ e n e ɾ a ɫ i z e j i m
accusative,ʒ e n e ɾ a ɫ i z e j i
possessive,ʒ e n e ɾ a ɫ i z e m
citation,a p a ɾ m a k
aorist,a p a ɾ ɯ ɾ
causative,a p a ɾ t ɯ ɾ
citation,ʒ e n e t i k
profs,ʒ e n e t i k t͡ʃ i
predicative,ʒ e n e t i k i m
accusative,ʒ e n e t i k i
possessive,ʒ e n e t i i m
citation,ʒ e s t
profs,ʒ e s t t͡ʃ i
predicative,ʒ e s t i m
accusative,ʒ e s t i
possessive,ʒ e s t i m
citation,ʒ e t
profs,ʒ e t t͡ʃ i
predicative,ʒ e t i m
accusative,ʒ e t i
possessive,ʒ e t i m
citation,ʒ e t o n
profs,ʒ e t o n d͡ʒ u
predicative,ʒ e t o n u m
accusative,ʒ e t o n u
possessive,ʒ e t o n u m
citation,ʒ i p o n
profs,ʒ i p o n d͡ʒ u
predicative,ʒ i p o n u m
accusative,ʒ i p o n u
possessive,ʒ i p o n u m
citation,ʒ i g o ɫ o
profs,ʒ i g o ɫ o d͡ʒ u
predicative,ʒ i g o ɫ o j u m
accusative,ʒ i g o ɫ o j u
possessive,ʒ i g o ɫ o m
citation,a p a ɾ t m a n
citation,a p a ɾ t ɯ m a n
profs,a p a ɾ t m a n d͡ʒ ɯ
predicative,a p a ɾ t m a n ɯ m
accusative,a p a ɾ t m a n ɯ
possessive,a p a ɾ t m a n ɯ m
citation,ʒ i g ɫ e
profs,ʒ i g ɫ e d͡ʒ i
predicative,ʒ i g ɫ e j i m
accusative,ʒ i g ɫ e j i
possessive,ʒ i g ɫ e m
citation,ʒ i ɫ e
profs,ʒ i ɫ e d͡ʒ i
predicative,ʒ i ɫ e j i m
accusative,ʒ i ɫ e j i
possessive,ʒ i ɫ e m
citation,ʒ i ɫ e t
profs,ʒ i ɫ e t t͡ʃ i
predicative,ʒ i ɫ e t i m
accusative,ʒ i ɫ e t i
possessive,ʒ i ɫ e t i m
citation,ʒ i m n a s t i k
profs,ʒ i m n a s t i k t͡ʃ i
predicative,ʒ i m n a s t i i m
accusative,ʒ i m n a s t i i
possessive,ʒ i m n a s t i i m
citation,ʒ i n e k o ɫ o g
profs,ʒ i n e k o ɫ o g d͡ʒ u
predicative,ʒ i n e k o ɫ o g u m
accusative,ʒ i n e k o ɫ o u
possessive,ʒ i n e k o ɫ u m
citation,d͡ʒ i p
profs,d͡ʒ i p t͡ʃ i
predicative,d͡ʒ i p i m
accusative,d͡ʒ i p i
possessive,d͡ʒ i p i m
citation,t͡ʃ i p s
profs,t͡ʃ i p s t͡ʃ i
predicative,t͡ʃ i p s i m
accusative,t͡ʃ i p s i
possessive,t͡ʃ i p s i m
citation,ʒ i u ʒ i t s u
profs,ʒ i u ʒ i t s u d͡ʒ u
predicative,ʒ i u ʒ i t s u j u m
accusative,ʒ i u ʒ i t s u j u
possessive,ʒ i u ʒ i t s u m
citation,a p a ɾ t m a
aorist,a p a ɾ t ɯ ɾ
infinitive,a p a ɾ t m a k
causative,a p a ɾ t t a t ɯ ɾ
citation,ʒ œ ɫ e
profs,ʒ œ ɫ e d͡ʒ i
predicative,ʒ œ ɫ e j i m
accusative,ʒ œ ɫ e j i
possessive,ʒ œ ɫ e m
citation,ʒ œ n p ɾ œ m i j e
profs,ʒ œ n p ɾ œ m i j e d͡ʒ i
predicative,ʒ œ n p ɾ œ m i j e j i m
accusative,ʒ œ n p ɾ œ m i j e j i
possessive,ʒ œ n p ɾ œ m i j e m
citation,ʒ o k e j
profs,ʒ o k e j d͡ʒ i
predicative,ʒ o k e j i m
accusative,ʒ o k e j i
possessive,ʒ o k e j i m
citation,ʒ y b i ɫ e
profs,ʒ y b i ɫ e d͡ʒ i
predicative,ʒ y b i ɫ e j i m
accusative,ʒ y b i ɫ e j i
possessive,ʒ y b i ɫ e m
citation,ʒ y p
profs,ʒ y p t͡ʃ y
predicative,ʒ y p y m
accusative,ʒ y p y
possessive,ʒ y p y m
citation,ʒ y ɾ i
profs,ʒ y ɾ i d͡ʒ i
predicative,ʒ y ɾ i j i m
accusative,ʒ y ɾ i j i
possessive,ʒ y ɾ i m
citation,a p a ʃ
profs,a p a ʃ t͡ʃ ɯ
predicative,a p a ʃ ɯ m
accusative,a p a ʃ ɯ
possessive,a p a ʃ ɯ m
citation,ʒ y t
profs,ʒ y t t͡ʃ y
predicative,ʒ y t y m
accusative,ʒ y t y
possessive,ʒ y t y m
citation,ʒ u d o
profs,ʒ u d o d͡ʒ u
predicative,ʒ u d o j u m
accusative,ʒ u d o j u
possessive,ʒ u d o m
citation,ʒ u ɾ n a l
profs,ʒ u ɾ n a l d͡ʒ i
predicative,ʒ u ɾ n a l i m
accusative,ʒ u ɾ n a l i
possessive,ʒ u ɾ n a l i m
citation,k a
profs,k a d͡ʒ ɯ
predicative,k a j ɯ m
accusative,k a j ɯ
possessive,k a m
citation,c a b
profs,c a b d͡ʒ ɯ
predicative,c a b ɯ m
accusative,c a b ɯ
possessive,c a b ɯ m
citation,c a b u s
profs,c a b u s t͡ʃ u
predicative,c a b u s u m
accusative,c a b u s u
possessive,c a b u s u m
citation,a p a ʃ i c a ɾ
profs,a p a ʃ i c a ɾ d͡ʒ ɯ
predicative,a p a ʃ i c a ɾ ɯ m
accusative,a p a ʃ i c a ɾ ɯ
possessive,a p a ʃ i c a ɾ ɯ m
citation,c a f i
profs,c a f i d͡ʒ i
predicative,c a f i j i m
accusative,c a f i j i
possessive,c a f i m
citation,c a f i ɾ
profs,c a f i ɾ d͡ʒ i
predicative,c a f i ɾ i m
accusative,c a f i ɾ i
possessive,c a f i ɾ i m
citation,c a ɯ t
profs,c a ɯ t t͡ʃ ɯ
predicative,c a ɯ d ɯ m
accusative,c a ɯ d ɯ
possessive,c a ɯ d ɯ m
citation,c a ɯ t h a n e
profs,c a ɯ t h a n e d͡ʒ i
predicative,c a ɯ t h a n e j i m
accusative,c a ɯ t h a n e j i
possessive,c a ɯ t h a n e m
citation,c a g i ɾ
profs,c a g i ɾ d͡ʒ i
predicative,c a g i ɾ i m
accusative,c a g i ɾ i
possessive,c a g i ɾ i m
citation,c a h
profs,c a h t͡ʃ ɯ
predicative,c a h ɯ m
accusative,c a h ɯ
possessive,c a h ɯ m
citation,c a h i n
profs,c a h i n d͡ʒ i
predicative,c a h i n i m
accusative,c a h i n i
possessive,c a h i n i m
citation,c a h j a
profs,c a h j a d͡ʒ ɯ
predicative,c a h j a j ɯ m
accusative,c a h j a j ɯ
possessive,c a h j a m
citation,c a i n
predicative,c a i n i m
citation,c a m i ɫ
profs,c a m i ɫ d͡ʒ i
predicative,c a m i ɫ i m
accusative,c a m i ɫ i
possessive,c a m i ɫ i m
citation,c a n u n
profs,c a n u n d͡ʒ u
predicative,c a n u n u m
accusative,c a n u n u
possessive,c a n u n u m
citation,c a n u n u e v v e ɫ
profs,c a n u n u e v v e ɫ d͡ʒ i
predicative,c a n u n u e v v e ɫ i m
accusative,c a n u n u e v v e ɫ i
possessive,c a n u n u e v v e ɫ i m
citation,k a p
profs,k a p t͡ʃ ɯ
predicative,k a b ɯ m
accusative,k a b ɯ
possessive,k a b ɯ m
citation,c a ɾ
profs,c a ɾ d͡ʒ ɯ
predicative,c a ɾ ɯ m
accusative,c a ɾ ɯ
possessive,c a ɾ ɯ m
citation,c a ɾ e t m e k
aorist,c a ɾ e d e ɾ
infinitive,c a ɾ e t t i ɾ i ɾ
citation,a p a j ɾ ɯ
profs,a p a j ɾ ɯ d͡ʒ ɯ
predicative,a p a j ɾ ɯ j ɯ m
accusative,a p a j ɾ ɯ j ɯ
possessive,a p a j ɾ ɯ m
citation,c a ɾ h a n e
citation,k e ɾ h a n e
profs,k e ɾ h a n e d͡ʒ i
predicative,k e ɾ h a n e j i m
accusative,c a ɾ h a n e j i
accusative,k e ɾ h a n e j i
possessive,k e ɾ h a n e m
citation,c a ɾ ɫ ɯ
profs,c a ɾ ɫ ɯ d͡ʒ ɯ
predicative,c a ɾ ɫ ɯ j ɯ m
accusative,c a ɾ ɫ ɯ j ɯ
possessive,c a ɾ ɫ ɯ m
citation,c a ɾ s ɯ z
profs,c a ɾ s ɯ z d͡ʒ ɯ
predicative,c a ɾ s ɯ z ɯ m
accusative,c a ɾ s ɯ z ɯ
possessive,c a ɾ s ɯ z ɯ m
citation,c a ʃ a n e
profs,c a ʃ a n e d͡ʒ i
predicative,c a ʃ a n e j i m
accusative,c a ʃ a n e j i
possessive,c a ʃ a n e m
citation,c a ʃ i f
profs,c a ʃ i f t͡ʃ i
predicative,c a ʃ i f i m
accusative,c a ʃ i f i
possessive,c a ʃ i f i m
citation,c a s e
profs,c a s e d͡ʒ i
predicative,c a s e j i m
accusative,c a s e j i
possessive,c a s e m
citation,c a t i p
profs,c a t i p t͡ʃ i
predicative,c a t i b i m
accusative,c a t i b i
possessive,c a t i b i m
citation,k a v i
profs,k a v i d͡ʒ i
predicative,k a v i j i m
accusative,k a v i j i
possessive,k a v i m
citation,k a d i ɾ
profs,k a d i ɾ d͡ʒ i
predicative,k a d i ɾ i m
accusative,k a d i ɾ i
possessive,k a d i ɾ i m
citation,k a a n
profs,k a a n d͡ʒ ɯ
predicative,k a a n ɯ m
accusative,k a a n ɯ
possessive,k a a n ɯ m
citation,c a t i b e
profs,c a t i b e d͡ʒ i
predicative,c a t i b e j i m
accusative,c a t i b e j i
possessive,c a t i b e m
citation,k a t i ɫ
profs,k a t i ɫ d͡ʒ i
predicative,k a t i ɫ i m
accusative,k a t i ɫ i
possessive,k a t i ɫ i m
citation,a t͡ʃ ɯ ɫ ɯ m
profs,a t͡ʃ ɯ ɫ ɯ m d͡ʒ ɯ
predicative,a t͡ʃ ɯ ɫ ɯ m ɯ m
accusative,a t͡ʃ ɯ ɫ ɯ m ɯ
possessive,a t͡ʃ ɯ ɫ ɯ m ɯ m
citation,k a b a
profs,k a b a d͡ʒ ɯ
predicative,k a b a j ɯ m
accusative,k a b a j ɯ
possessive,k a b a m
citation,k a b a b u ɫ u t
profs,k a b a b u ɫ u t t͡ʃ u
predicative,k a b a b u ɫ u t u m
accusative,k a b a b u ɫ u t u
possessive,k a b a b u ɫ u t u m
citation,k a b a d a j ɯ
profs,k a b a d a j ɯ d͡ʒ ɯ
predicative,k a b a d a j ɯ j ɯ m
accusative,k a b a d a j ɯ j ɯ
possessive,k a b a d a j ɯ m
citation,k a b a h a t
profs,k a b a h a t t͡ʃ i
predicative,k a b a h a t i m
accusative,k a b a h a t i
possessive,k a b a h a t i m
citation,k a b a k
profs,k a b a k t͡ʃ ɯ
predicative,k a b a ɯ m
accusative,k a b a ɯ
possessive,k a b a ɯ m
citation,k a b a k t͡ʃ ɯ
predicative,k a b a k t͡ʃ ɯ j ɯ m
accusative,k a b a k t͡ʃ ɯ j ɯ
possessive,k a b a k t͡ʃ ɯ m
citation,k a b a k u ɫ a k
profs,k a b a k u ɫ a k t͡ʃ ɯ
predicative,k a b a k u ɫ a ɯ m
accusative,k a b a k u ɫ a ɯ
possessive,k a b a k u ɫ a ɯ m
citation,k a b a ɫ a k
profs,k a b a ɫ a k t͡ʃ ɯ
predicative,k a b a ɫ a k ɯ m
accusative,k a b a ɫ a k ɯ
possessive,k a b a ɫ a ɯ m
citation,k a b a ɫ a ʃ m a k
aorist,k a b a ɫ a ʃ ɯ ɾ
causative,k a b a ɫ a ʃ t ɯ ɾ ɯ ɾ
citation,k a b a ɫ ɯ k
profs,k a b a ɫ ɯ k t͡ʃ ɯ
predicative,k a b a ɫ ɯ ɯ m
accusative,k a b a ɫ ɯ ɯ
possessive,k a b a ɫ ɯ ɯ m
citation,k a b a n
profs,k a b a n d͡ʒ ɯ
predicative,k a b a n ɯ m
accusative,k a b a n ɯ
possessive,k a b a n ɯ m
citation,k a b a ɾ a
profs,k a b a ɾ a d͡ʒ ɯ
predicative,k a b a ɾ a j ɯ m
accusative,k a b a ɾ a j ɯ
possessive,k a b a ɾ a m
citation,k a b a ɾ d͡ʒ ɯ k
profs,k a b a ɾ d͡ʒ ɯ k t͡ʃ ɯ
predicative,k a b a ɾ d͡ʒ ɯ ɯ m
accusative,k a b a ɾ d͡ʒ ɯ ɯ
possessive,k a b a ɾ d͡ʒ ɯ ɯ m
citation,k a b a ɾ e
profs,k a b a ɾ e d͡ʒ i
predicative,k a b a ɾ e j i m
accusative,k a b a ɾ e j i
possessive,k a b a ɾ e m
citation,k a b a ɾ ɯ k
profs,k a b a ɾ ɯ k t͡ʃ ɯ
predicative,k a b a ɾ ɯ ɯ m
accusative,k a b a ɾ ɯ ɯ
possessive,k a b a ɾ ɯ ɯ m
citation,a p e ɾ i t i f
